BOROUGH,ZIP,REASON,COLLISIONS
Bronx,10453,Using On Board Navigation Device,1
Bronx,10453,View Obstructed/Limited,62
Bronx,10454,80,1
Bronx,10454,Accelerator Defective,2
Bronx,10454,Aggressive Driving/Road Rage,54
Bronx,10454,Alcohol Involvement,100
Bronx,10454,Animals Action,2
Bronx,10454,Backing Unsafely,296
Bronx,10454,Brakes Defective,29
Bronx,10454,Cell Phone (hand-Held),2
Bronx,10454,Driver Inattention/Distraction,1525
Bronx,10454,Driver Inexperience,132
Bronx,10454,Driverless/Runaway Vehicle,3
Bronx,10454,Drugs (Illegal),4
Bronx,10454,Drugs (illegal),6
Bronx,10454,Failure to Keep Right,12
Bronx,10454,Failure to Yield Right-of-Way,286
Bronx,10454,Fatigued/Drowsy,167
Bronx,10454,Fell Asleep,14
Bronx,10454,Following Too Closely,262
Bronx,10454,Glare,13
Bronx,10454,Headlights Defective,1
Bronx,10454,Illnes,6
Bronx,10454,Illness,7
Bronx,10454,Lane Marking Improper/Inadequate,10
Bronx,10454,Lost Consciousness,88
Bronx,10454,Obstruction/Debris,14
Bronx,10454,Other Electronic Device,17
Bronx,10454,Other Vehicular,541
Bronx,10454,Outside Car Distraction,45
Bronx,10454,Oversized Vehicle,72
Bronx,10454,Passenger Distraction,27
Bronx,10454,Passing Too Closely,147
Bronx,10454,Passing or Lane Usage Improper,148
Bronx,10454,Pavement Defective,11
Bronx,10454,Pavement Slippery,61
Bronx,10454,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,34
Bronx,10454,Physical Disability,43
Bronx,10454,Prescription Medication,79
Bronx,10454,Reaction to Other Uninvolved Vehicle,3
Bronx,10454,Reaction to Uninvolved Vehicle,48
Bronx,10454,Steering Failure,7
Bronx,10454,Texting,1
Bronx,10454,Tinted Windows,1
Bronx,10454,Tire Failure/Inadequate,2
Bronx,10454,Tow Hitch Defective,1
Bronx,10454,Traffic Control Device Improper/Non-Working,4
Bronx,10454,Traffic Control Disregarded,103
Bronx,10454,Turning Improperly,229
Bronx,10454,Unsafe Lane Changing,112
Bronx,10454,Unsafe Speed,69
Bronx,10454,Unspecified,2772
Bronx,10454,Using On Board Navigation Device,2
Bronx,10454,Vehicle Vandalism,1
Bronx,10454,View Obstructed/Limited,41
Bronx,10455,80,1
Bronx,10455,Accelerator Defective,5
Bronx,10455,Aggressive Driving/Road Rage,54
Bronx,10455,Alcohol Involvement,95
Bronx,10455,Animals Action,4
Bronx,10455,Backing Unsafely,301
Bronx,10455,Brakes Defective,24
Bronx,10455,Cell Phone (hand-Held),1
Bronx,10455,Cell Phone (hands-free),4
Bronx,10455,Driver Inattention/Distraction,1137
Bronx,10455,Driver Inexperience,100
Bronx,10455,Driverless/Runaway Vehicle,3
Bronx,10455,Drugs (Illegal),4
Bronx,10455,Drugs (illegal),5
Bronx,10455,Eating or Drinking,2
Bronx,10455,Failure to Keep Right,9
Bronx,10455,Failure to Yield Right-of-Way,280
Bronx,10455,Fatigued/Drowsy,110
Bronx,10455,Fell Asleep,10
Bronx,10455,Following Too Closely,227
Bronx,10455,Glare,12
Bronx,10455,Illnes,2
Bronx,10455,Illness,8
Bronx,10455,Lane Marking Improper/Inadequate,2
Bronx,10455,Lost Consciousness,45
Bronx,10455,Obstruction/Debris,12
Bronx,10455,Other Electronic Device,7
Bronx,10455,Other Lighting Defects,1
Bronx,10455,Other Vehicular,404
Bronx,10455,Outside Car Distraction,35
Bronx,10455,Oversized Vehicle,58
Bronx,10455,Passenger Distraction,35
Bronx,10455,Passing Too Closely,168
Bronx,10455,Passing or Lane Usage Improper,107
Bronx,10455,Pavement Defective,7
Bronx,10455,Pavement Slippery,44
Bronx,10455,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,45
Bronx,10455,Physical Disability,38
Bronx,10455,Prescription Medication,63
Bronx,10455,Reaction to Other Uninvolved Vehicle,4
Bronx,10455,Reaction to Uninvolved Vehicle,36
Bronx,10455,Steering Failure,8
Bronx,10455,Tinted Windows,2
Bronx,10455,Tire Failure/Inadequate,3
Bronx,10455,Traffic Control Device Improper/Non-Working,9
Bronx,10455,Traffic Control Disregarded,116
Bronx,10455,Turning Improperly,182
Bronx,10455,Unsafe Lane Changing,91
Bronx,10455,Unsafe Speed,57
Bronx,10455,Unspecified,2944
Bronx,10455,Using On Board Navigation Device,1
Bronx,10455,Vehicle Vandalism,1
Bronx,10455,View Obstructed/Limited,45
Bronx,10456,80,1
Bronx,10456,Accelerator Defective,5
Bronx,10456,Aggressive Driving/Road Rage,59
Bronx,10456,Alcohol Involvement,112
Bronx,10456,Animals Action,8
Bronx,10456,Backing Unsafely,409
Bronx,10456,Brakes Defective,41
Bronx,10456,Cell Phone (hand-Held),6
Bronx,10456,Driver Inattention/Distraction,1598
Bronx,10456,Driver Inexperience,170
Bronx,10456,Driverless/Runaway Vehicle,10
Bronx,10456,Drugs (Illegal),5
Bronx,10456,Drugs (illegal),3
Bronx,10456,Eating or Drinking,2
Bronx,10456,Failure to Keep Right,14
Bronx,10456,Failure to Yield Right-of-Way,458
Bronx,10456,Fatigued/Drowsy,150
Bronx,10456,Fell Asleep,29
Bronx,10456,Following Too Closely,274
Bronx,10456,Glare,15
Bronx,10456,Illnes,4
Bronx,10456,Illness,16
Bronx,10456,Lane Marking Improper/Inadequate,2
Bronx,10456,Lost Consciousness,71
Bronx,10456,Obstruction/Debris,14
Bronx,10456,Other Electronic Device,17
Bronx,10456,Other Vehicular,413
Bronx,10456,Outside Car Distraction,54
Bronx,10456,Oversized Vehicle,39
Bronx,10456,Passenger Distraction,115
Bronx,10456,Passing Too Closely,336
Bronx,10456,Passing or Lane Usage Improper,191
Bronx,10456,Pavement Defective,8
Bronx,10456,Pavement Slippery,89
Bronx,10456,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,55
Bronx,10456,Physical Disability,45
Bronx,10456,Prescription Medication,99
Bronx,10456,Reaction to Other Uninvolved Vehicle,9
Bronx,10456,Reaction to Uninvolved Vehicle,42
Bronx,10456,Shoulders Defective/Improper,1
Bronx,10456,Steering Failure,15
Bronx,10456,Tinted Windows,1
Bronx,10456,Tire Failure/Inadequate,5
Bronx,10456,Traffic Control Device Improper/Non-Working,3
Bronx,10456,Traffic Control Disregarded,173
Bronx,10456,Turning Improperly,204
Bronx,10456,Unsafe Lane Changing,100
Bronx,10456,Unsafe Speed,120
Bronx,10456,Unspecified,2069
Bronx,10456,Using On Board Navigation Device,1
Bronx,10456,Vehicle Vandalism,3
Bronx,10456,View Obstructed/Limited,74
Bronx,10456,Windshield Inadequate,1
Bronx,10457,80,2
Bronx,10457,Accelerator Defective,8
Bronx,10457,Aggressive Driving/Road Rage,61
Bronx,10457,Alcohol Involvement,148
Bronx,10457,Animals Action,2
Bronx,10457,Backing Unsafely,459
Bronx,10457,Brakes Defective,36
Bronx,10457,Cell Phone (hand-Held),7
Bronx,10457,Cell Phone (hand-held),1
Bronx,10457,Cell Phone (hands-free),1
Bronx,10457,Driver Inattention/Distraction,1900
Bronx,10457,Driver Inexperience,165
Bronx,10457,Driverless/Runaway Vehicle,7
Bronx,10457,Drugs (Illegal),2
Bronx,10457,Eating or Drinking,1
Bronx,10457,Failure to Keep Right,16
Bronx,10457,Failure to Yield Right-of-Way,512
Bronx,10457,Fatigued/Drowsy,110
Bronx,10457,Fell Asleep,17
Bronx,10457,Following Too Closely,397
Bronx,10457,Glare,23
Bronx,10457,Illnes,11
Bronx,10457,Illness,6
Bronx,10457,Lane Marking Improper/Inadequate,2
Bronx,10457,Listening/Using Headphones,1
Bronx,10457,Lost Consciousness,79
Bronx,10457,Obstruction/Debris,15
Bronx,10457,Other Electronic Device,12
Bronx,10457,Other Lighting Defects,3
Bronx,10457,Other Vehicular,532
Bronx,10457,Outside Car Distraction,51
Bronx,10457,Oversized Vehicle,76
Bronx,10457,Passenger Distraction,48
Bronx,10457,Passing Too Closely,466
Bronx,10457,Passing or Lane Usage Improper,224
Bronx,10457,Pavement Defective,8
Bronx,10457,Pavement Slippery,87
Bronx,10457,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,79
Bronx,10457,Physical Disability,61
Bronx,10457,Prescription Medication,68
Bronx,10457,Reaction to Other Uninvolved Vehicle,4
Bronx,10457,Reaction to Uninvolved Vehicle,54
Bronx,10457,Shoulders Defective/Improper,1
Bronx,10457,Steering Failure,19
Bronx,10457,Tinted Windows,2
Bronx,10457,Tire Failure/Inadequate,8
Bronx,10457,Traffic Control Device Improper/Non-Working,1
Bronx,10457,Traffic Control Disregarded,243
Bronx,10457,Turning Improperly,194
Bronx,10457,Unsafe Lane Changing,94
Bronx,10457,Unsafe Speed,128
Bronx,10457,Unspecified,3080
Bronx,10457,Using On Board Navigation Device,1
Bronx,10457,Vehicle Vandalism,1
Bronx,10457,View Obstructed/Limited,114
Bronx,10458,80,2
Bronx,10458,Accelerator Defective,9
Bronx,10458,Aggressive Driving/Road Rage,45
Bronx,10458,Alcohol Involvement,120
Bronx,10458,Animals Action,2
Bronx,10458,Backing Unsafely,506
Bronx,10458,Brakes Defective,48
Bronx,10458,Cell Phone (hand-Held),3
Bronx,10458,Driver Inattention/Distraction,1899
Bronx,10458,Driver Inexperience,165
Bronx,10458,Driverless/Runaway Vehicle,8
Bronx,10458,Drugs (Illegal),1
Bronx,10458,Drugs (illegal),5
Bronx,10458,Failure to Keep Right,22
Bronx,10458,Failure to Yield Right-of-Way,518
Bronx,10458,Fatigued/Drowsy,191
Bronx,10458,Fell Asleep,23
Bronx,10458,Following Too Closely,431
Bronx,10458,Glare,21
Bronx,10458,Illnes,9
Bronx,10458,Illness,12
Bronx,10458,Lane Marking Improper/Inadequate,2
Bronx,10458,Lost Consciousness,78
Bronx,10458,Obstruction/Debris,23
Bronx,10458,Other Electronic Device,13
Bronx,10458,Other Lighting Defects,1
Bronx,10458,Other Vehicular,425
Bronx,10458,Outside Car Distraction,48
Bronx,10458,Oversized Vehicle,66
Bronx,10458,Passenger Distraction,53
Bronx,10458,Passing Too Closely,506
Bronx,10458,Passing or Lane Usage Improper,257
Bronx,10458,Pavement Defective,10
Bronx,10458,Pavement Slippery,88
Bronx,10458,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,68
Bronx,10458,Physical Disability,43
Bronx,10458,Prescription Medication,90
Bronx,10458,Reaction to Other Uninvolved Vehicle,7
Bronx,10458,Reaction to Uninvolved Vehicle,74
Bronx,10458,Shoulders Defective/Improper,1
Bronx,10458,Steering Failure,10
Bronx,10458,Tinted Windows,1
Bronx,10458,Tire Failure/Inadequate,3
Bronx,10458,Tow Hitch Defective,1
Bronx,10458,Traffic Control Device Improper/Non-Working,4
Bronx,10458,Traffic Control Disregarded,167
Bronx,10458,Turning Improperly,255
Bronx,10458,Unsafe Lane Changing,183
Bronx,10458,Unsafe Speed,137
Bronx,10458,Unspecified,3614
Bronx,10458,Vehicle Vandalism,1
Bronx,10458,View Obstructed/Limited,99
Bronx,10459,Accelerator Defective,3
Bronx,10459,Aggressive Driving/Road Rage,54
Bronx,10459,Alcohol Involvement,94
Bronx,10459,Animals Action,3
Bronx,10459,Backing Unsafely,310
Bronx,10459,Brakes Defective,23
Bronx,10459,Cell Phone (hand-Held),3
Bronx,10459,Cell Phone (hand-held),2
Bronx,10459,Cell Phone (hands-free),2
Bronx,10459,Driver Inattention/Distraction,594
Bronx,10459,Driver Inexperience,78
Bronx,10459,Driverless/Runaway Vehicle,8
Bronx,10459,Drugs (Illegal),2
Bronx,10459,Drugs (illegal),3
Bronx,10459,Eating or Drinking,1
Bronx,10459,Failure to Keep Right,6
Bronx,10459,Failure to Yield Right-of-Way,347
Bronx,10459,Fatigued/Drowsy,121
Bronx,10459,Fell Asleep,10
Bronx,10459,Following Too Closely,366
Bronx,10459,Glare,22
Bronx,10459,Illnes,5
Bronx,10459,Illness,9
Bronx,10459,Lane Marking Improper/Inadequate,2
Bronx,10459,Lost Consciousness,39
Bronx,10459,Obstruction/Debris,10
Bronx,10459,Other Electronic Device,6
Bronx,10459,Other Lighting Defects,1
Bronx,10459,Other Vehicular,259
Bronx,10459,Outside Car Distraction,34
Bronx,10459,Oversized Vehicle,75
Bronx,10459,Passenger Distraction,46
Bronx,10459,Passing Too Closely,230
Bronx,10459,Passing or Lane Usage Improper,193
Bronx,10459,Pavement Defective,12
Bronx,10459,Pavement Slippery,56
Bronx,10459,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,47
Bronx,10459,Physical Disability,45
Bronx,10459,Prescription Medication,58
Bronx,10459,Reaction to Other Uninvolved Vehicle,3
Bronx,10459,Reaction to Uninvolved Vehicle,54
Bronx,10459,Steering Failure,12
Bronx,10459,Tire Failure/Inadequate,4
Bronx,10459,Tow Hitch Defective,1
Bronx,10459,Traffic Control Device Improper/Non-Working,3
Bronx,10459,Traffic Control Disregarded,132
Bronx,10459,Turning Improperly,180
Bronx,10459,Unsafe Lane Changing,122
Bronx,10459,Unsafe Speed,70
Bronx,10459,Unspecified,4246
Bronx,10459,Using On Board Navigation Device,4
Bronx,10459,View Obstructed/Limited,52
Bronx,10460,Accelerator Defective,3
Bronx,10460,Aggressive Driving/Road Rage,58
Bronx,10460,Alcohol Involvement,110
Bronx,10460,Animals Action,9
Bronx,10460,Backing Unsafely,383
Bronx,10460,Brakes Defective,39
Bronx,10460,Cell Phone (hand-Held),1
Bronx,10460,Driver Inattention/Distraction,1662
Bronx,10460,Driver Inexperience,144
Bronx,10460,Driverless/Runaway Vehicle,8
Bronx,10460,Drugs (Illegal),5
Bronx,10460,Drugs (illegal),7
Bronx,10460,Failure to Keep Right,21
Bronx,10460,Failure to Yield Right-of-Way,467
Bronx,10460,Fatigued/Drowsy,105
Bronx,10460,Fell Asleep,16
Bronx,10460,Following Too Closely,362
Bronx,10460,Glare,23
Bronx,10460,Illnes,4
Bronx,10460,Illness,8
Bronx,10460,Lane Marking Improper/Inadequate,6
Bronx,10460,Lost Consciousness,66
Bronx,10460,Obstruction/Debris,17
Bronx,10460,Other Electronic Device,10
Bronx,10460,Other Vehicular,538
Bronx,10460,Outside Car Distraction,50
Bronx,10460,Oversized Vehicle,75
Bronx,10460,Passenger Distraction,40
Bronx,10460,Passing Too Closely,423
Bronx,10460,Passing or Lane Usage Improper,249
Bronx,10460,Pavement Defective,9
Bronx,10460,Pavement Slippery,71
Bronx,10460,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,52
Bronx,10460,Physical Disability,38
Bronx,10460,Prescription Medication,69
Bronx,10460,Reaction to Other Uninvolved Vehicle,5
Bronx,10460,Reaction to Uninvolved Vehicle,65
Bronx,10460,Steering Failure,13
Bronx,10460,Tire Failure/Inadequate,5
Bronx,10460,Tow Hitch Defective,2
Bronx,10460,Traffic Control Device Improper/Non-Working,6
Bronx,10460,Traffic Control Disregarded,181
Bronx,10460,Turning Improperly,207
Bronx,10460,Unsafe Lane Changing,129
Bronx,10460,Unsafe Speed,105
Bronx,10460,Unspecified,3317
Bronx,10460,Vehicle Vandalism,3
Bronx,10460,View Obstructed/Limited,95
Bronx,10461,80,1
Bronx,10461,Accelerator Defective,4
Bronx,10461,Aggressive Driving/Road Rage,30
Bronx,10461,Alcohol Involvement,79
Bronx,10461,Animals Action,7
Bronx,10461,Backing Unsafely,308
Bronx,10461,Brakes Defective,25
Bronx,10461,Cell Phone (hand-Held),2
Bronx,10461,Driver Inattention/Distraction,1108
Bronx,10461,Driver Inexperience,77
Bronx,10461,Driverless/Runaway Vehicle,5
Bronx,10461,Drugs (illegal),4
Bronx,10461,Eating or Drinking,2
Bronx,10461,Failure to Keep Right,6
Bronx,10461,Failure to Yield Right-of-Way,341
Bronx,10461,Fatigued/Drowsy,69
Bronx,10461,Fell Asleep,25
Bronx,10461,Following Too Closely,128
Bronx,10461,Glare,31
Bronx,10461,Illnes,6
Bronx,10461,Illness,3
Bronx,10461,Lane Marking Improper/Inadequate,3
Bronx,10461,Lost Consciousness,38
Bronx,10461,Obstruction/Debris,16
Bronx,10461,Other Electronic Device,11
Bronx,10461,Other Vehicular,512
Bronx,10461,Outside Car Distraction,31
Bronx,10461,Oversized Vehicle,23
Bronx,10461,Passenger Distraction,19
Bronx,10461,Passing Too Closely,76
Bronx,10461,Passing or Lane Usage Improper,67
Bronx,10461,Pavement Defective,5
Bronx,10461,Pavement Slippery,66
Bronx,10461,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,32
Bronx,10461,Physical Disability,29
Bronx,10461,Prescription Medication,54
Bronx,10461,Reaction to Other Uninvolved Vehicle,2
Bronx,10461,Reaction to Uninvolved Vehicle,63
Bronx,10461,Steering Failure,9
Bronx,10461,Tinted Windows,2
Bronx,10461,Tire Failure/Inadequate,6
Bronx,10461,Tow Hitch Defective,1
Bronx,10461,Traffic Control Device Improper/Non-Working,1
Bronx,10461,Traffic Control Disregarded,84
Bronx,10461,Turning Improperly,183
Bronx,10461,Unsafe Lane Changing,78
Bronx,10461,Unsafe Speed,60
Bronx,10461,Unspecified,5039
Bronx,10461,Vehicle Vandalism,1
Bronx,10461,View Obstructed/Limited,54
Bronx,10462,Accelerator Defective,3
Bronx,10462,Aggressive Driving/Road Rage,33
Bronx,10462,Alcohol Involvement,78
Bronx,10462,Animals Action,4
Bronx,10462,Backing Unsafely,335
Bronx,10462,Brakes Defective,24
Bronx,10462,Cell Phone (hand-Held),7
Bronx,10462,Cell Phone (hands-free),1
Bronx,10462,Driver Inattention/Distraction,1044
Bronx,10462,Driver Inexperience,80
Bronx,10462,Driverless/Runaway Vehicle,8
Bronx,10462,Drugs (Illegal),4
Bronx,10462,Drugs (illegal),6
Bronx,10462,Failure to Keep Right,9
Bronx,10462,Failure to Yield Right-of-Way,292
Bronx,10462,Fatigued/Drowsy,27
Bronx,10462,Fell Asleep,23
Bronx,10462,Following Too Closely,156
Bronx,10462,Glare,12
Bronx,10462,Headlights Defective,1
Bronx,10462,Illnes,14
Bronx,10462,Illness,6
Bronx,10462,Lane Marking Improper/Inadequate,3
Bronx,10462,Lost Consciousness,22
Bronx,10462,Obstruction/Debris,15
Bronx,10462,Other Electronic Device,3
Bronx,10462,Other Lighting Defects,1
Bronx,10462,Other Vehicular,563
Bronx,10462,Outside Car Distraction,27
Bronx,10462,Oversized Vehicle,22
Bronx,10462,Passenger Distraction,32
Bronx,10462,Passing Too Closely,163
Bronx,10462,Passing or Lane Usage Improper,227
Bronx,10462,Pavement Defective,6
Bronx,10462,Pavement Slippery,56
Bronx,10462,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,51
Bronx,10462,Physical Disability,11
Bronx,10462,Prescription Medication,44
Bronx,10462,Reaction to Other Uninvolved Vehicle,3
Bronx,10462,Reaction to Uninvolved Vehicle,40
Bronx,10462,Shoulders Defective/Improper,2
Bronx,10462,Steering Failure,11
Bronx,10462,Tinted Windows,1
Bronx,10462,Tire Failure/Inadequate,5
Bronx,10462,Tow Hitch Defective,2
Bronx,10462,Traffic Control Device Improper/Non-Working,5
Bronx,10462,Traffic Control Disregarded,125
Bronx,10462,Turning Improperly,205
Bronx,10462,Unsafe Lane Changing,118
Bronx,10462,Unsafe Speed,80
Bronx,10462,Unspecified,4198
Bronx,10462,View Obstructed/Limited,72
Bronx,10463,80,3
Bronx,10463,Accelerator Defective,3
Bronx,10463,Aggressive Driving/Road Rage,30
Bronx,10463,Alcohol Involvement,61
Bronx,10463,Animals Action,4
Bronx,10463,Backing Unsafely,342
Bronx,10463,Brakes Defective,37
Bronx,10463,Cell Phone (hand-Held),1
Bronx,10463,Cell Phone (hands-free),1
Bronx,10463,Driver Inattention/Distraction,890
Bronx,10463,Driver Inexperience,116
Bronx,10463,Driverless/Runaway Vehicle,7
Bronx,10463,Drugs (Illegal),2
Bronx,10463,Drugs (illegal),3
Bronx,10463,Eating or Drinking,1
Bronx,10463,Failure to Keep Right,15
Bronx,10463,Failure to Yield Right-of-Way,298
Bronx,10463,Fatigued/Drowsy,66
Bronx,10463,Fell Asleep,12
Bronx,10463,Following Too Closely,132
Bronx,10463,Glare,19
Bronx,10463,Illnes,10
Bronx,10463,Illness,3
Bronx,10463,Lane Marking Improper/Inadequate,2
Bronx,10463,Lost Consciousness,42
Bronx,10463,Obstruction/Debris,12
Bronx,10463,Other Electronic Device,12
Bronx,10463,Other Vehicular,248
Bronx,10463,Outside Car Distraction,53
Bronx,10463,Oversized Vehicle,37
Bronx,10463,Passenger Distraction,19
Bronx,10463,Passing Too Closely,94
Bronx,10463,Passing or Lane Usage Improper,99
Bronx,10463,Pavement Defective,12
Bronx,10463,Pavement Slippery,89
Bronx,10463,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,28
Bronx,10463,Physical Disability,15
Bronx,10463,Prescription Medication,50
Bronx,10463,Reaction to Other Uninvolved Vehicle,5
Bronx,10463,Reaction to Uninvolved Vehicle,40
Bronx,10463,Steering Failure,12
Bronx,10463,Tinted Windows,1
Bronx,10463,Tire Failure/Inadequate,8
Bronx,10463,Traffic Control Disregarded,63
Bronx,10463,Turning Improperly,128
Bronx,10463,Unsafe Lane Changing,69
Bronx,10463,Unsafe Speed,69
Bronx,10463,Unspecified,3978
Bronx,10463,View Obstructed/Limited,61
Bronx,10463,Windshield Inadequate,2
Bronx,10464,Accelerator Defective,1
Bronx,10464,Aggressive Driving/Road Rage,5
Bronx,10464,Alcohol Involvement,16
Bronx,10464,Animals Action,7
Bronx,10464,Backing Unsafely,20
Bronx,10464,Brakes Defective,3
Bronx,10464,Driver Inattention/Distraction,119
